date,ticker
2026-05-29,F
2026-05-29,RDDT
2026-05-29,NCLH
2026-05-29,AXON
2026-06-01,HOOD
2026-06-01,WDAY
2026-06-01,NOW
2026-06-01,INTU
2026-06-01,COIN
2026-06-01,RDDT
2026-06-01,AXON
2026-06-01,VEEV
2026-06-01,CF
2026-06-01,TTD
2026-06-02,MRVL
2026-06-02,LITE
2026-06-02,HPE
2026-06-02,AXON
2026-06-02,FDS
2026-06-02,TTD
2026-06-02,HOOD
2026-06-02,COIN
2026-06-02,CVNA
2026-06-02,VRT
2026-06-03,MRVL
2026-06-03,COHR
2026-06-03,AXON
2026-06-03,QCOM
2026-06-03,CVNA
2026-06-03,APP
2026-06-03,RDDT
2026-06-03,COIN
2026-06-03,HOOD
2026-06-03,PODD
2026-06-04,SNDK
2026-06-04,QCOM
2026-06-04,DELL
2026-06-04,DLTR
2026-06-04,TTD
2026-06-04,VRT
2026-06-04,FDS
2026-06-04,CHTR
2026-06-04,VEEV
2026-06-04,GPN
2026-06-05,MRVL
2026-06-05,LITE
2026-06-05,COHR
2026-06-05,ECHO
2026-06-05,HOOD
2026-06-05,AXON
2026-06-05,FIX
2026-06-05,RDDT
2026-06-05,MRNA
2026-06-05,VRT
2026-06-08,INTC
2026-06-08,COIN
2026-06-08,SNDK
2026-06-08,HOOD
2026-06-08,SMCI
2026-06-08,ECHO
2026-06-08,VRT
2026-06-08,TTD
2026-06-08,GNRC
2026-06-08,RDDT
2026-06-09,INTU
2026-06-09,COIN
2026-06-09,NOW
2026-06-09,MU
2026-06-09,ECHO
2026-06-09,CVNA
2026-06-09,RDDT
2026-06-09,TTD
2026-06-09,MRNA
2026-06-09,FIX
2026-06-10,MU
2026-06-10,QCOM
2026-06-10,SMCI
2026-06-10,TTD
2026-06-10,APP
2026-06-10,VRT
2026-06-10,RDDT
2026-06-10,LULU
2026-06-10,RCL
2026-06-10,COIN
2026-06-11,MRVL
2026-06-11,ON
2026-06-11,FSLR
2026-06-11,GNRC
2026-06-11,ECHO
2026-06-11,APP
2026-06-11,GEV
2026-06-11,VST
2026-06-11,ALB
2026-06-11,VRT
2026-06-12,SMCI
2026-06-12,MRVL
2026-06-12,FSLR
2026-06-12,ECHO
2026-06-12,GNRC
2026-06-12,VRT
2026-06-12,UAL
2026-06-12,MOS
2026-06-12,APTV
2026-06-12,FCX
2026-06-15,LITE
2026-06-15,TER
2026-06-15,SNDK
2026-06-15,APP
2026-06-15,RDDT
2026-06-15,HOOD
2026-06-15,FCX
2026-06-15,RCL
2026-06-15,COIN
2026-06-15,UAL
2026-06-16,MRVL
2026-06-16,WDC
2026-06-16,COHR
2026-06-16,HOOD
2026-06-16,CVNA
2026-06-16,FOXA
2026-06-16,ECHO
2026-06-16,FOX
2026-06-16,FISV
2026-06-16,TPL
2026-06-17,SMCI
2026-06-17,TER
2026-06-17,SNDK
2026-06-17,MRNA
2026-06-17,ECHO
2026-06-17,HOOD
2026-06-17,VRT
2026-06-17,FOX
2026-06-17,FIX
2026-06-17,AXON
2026-06-18,MRNA
2026-06-18,HOOD
2026-06-18,SNDK
2026-06-18,VRT
2026-06-18,DELL
2026-06-18,AMD
2026-06-18,GEV
2026-06-18,CVNA
2026-06-18,FDS
2026-06-18,RDDT
2026-06-22,SNDK
2026-06-22,SMCI
2026-06-22,GLW
2026-06-22,ECHO
2026-06-22,RDDT
2026-06-22,DASH
2026-06-22,TTD
2026-06-22,GNRC
2026-06-22,AXON
2026-06-22,VRT
2026-06-23,COHR
2026-06-23,SMCI
2026-06-23,GLW
2026-06-23,VRT
2026-06-23,GNRC
2026-06-23,FIX
2026-06-23,ALB
2026-06-23,ECHO
2026-06-23,HOOD
2026-06-23,APP
2026-06-24,DELL
2026-06-24,CIEN
2026-06-24,CCL
2026-06-24,ECHO
2026-06-24,RCL
2026-06-24,LULU
2026-06-24,STX
2026-06-24,APP
2026-06-24,FCX
2026-06-24,CHTR
2026-06-25,GLW
2026-06-25,COHR
2026-06-25,MU
2026-06-25,GNRC
2026-06-25,VRT
2026-06-25,BLDR
2026-06-25,APP
2026-06-25,FCX
2026-06-25,DLTR
2026-06-25,DOW
2026-06-26,SNDK
2026-06-26,TER
2026-06-26,AMAT
2026-06-26,ECHO
2026-06-26,COIN
2026-06-26,GNRC
2026-06-26,ALB
2026-06-26,BLDR
2026-06-26,VRT
2026-06-26,TPL
2026-06-29,HOOD
2026-06-29,COIN
2026-06-29,MRNA
2026-06-29,NOW
2026-06-29,WDAY
2026-06-29,ECHO
2026-06-29,AXON
2026-06-29,APP
2026-06-29,GLW
2026-06-29,TTD
2026-06-30,WDC
2026-06-30,GLW
2026-06-30,SNDK
2026-06-30,AXON
2026-06-30,ALB
2026-06-30,COIN
2026-06-30,ECHO
2026-06-30,RDDT
2026-06-30,VRT
2026-06-30,GEV
2026-07-01,SNDK
2026-07-01,MRVL
2026-07-01,ON
2026-07-01,AXON
2026-07-01,VRT
2026-07-01,APP
2026-07-01,GEV
2026-07-01,FOXA
2026-07-01,FOX
2026-07-01,ARES
2026-07-02,RDDT
2026-07-02,HOOD
2026-07-02,APP
2026-07-02,COIN
2026-07-02,FDS
2026-07-02,MRNA
2026-07-02,PLTR
2026-07-02,STX
2026-07-02,LITE
2026-07-02,AXON
2026-07-06,MRNA
2026-07-06,MU
2026-07-06,STX
2026-07-06,WDC
2026-07-06,FOX
2026-07-06,VRT
2026-07-06,APP
2026-07-06,FIX
2026-07-06,GNRC
2026-07-06,RDDT
2026-07-07,AXON
2026-07-07,WDAY
2026-07-07,ANET
2026-07-07,QCOM
2026-07-07,HOOD
2026-07-07,VRT
2026-07-07,COIN
2026-07-07,TTD
2026-07-07,APP
2026-07-07,ARES
2026-07-08,MU
2026-07-08,MRVL
2026-07-08,MRNA
2026-07-08,STX
2026-07-08,FIX
2026-07-08,GNRC
2026-07-08,COIN
2026-07-08,NCLH
2026-07-08,BLDR
2026-07-08,CVNA
2026-07-09,SNDK
2026-07-09,STX
2026-07-09,MU
2026-07-09,VRT
2026-07-09,FIX
2026-07-09,GNRC
2026-07-09,HOOD
2026-07-09,FDS
2026-07-09,NCLH
2026-07-09,SW
2026-07-10,ACN
2026-07-10,CTSH
2026-07-10,WDAY
2026-07-10,TTD
2026-07-10,RDDT
2026-07-10,HOOD
2026-07-10,META
2026-07-10,ARES
2026-07-10,FIX
2026-07-10,GNRC
2026-07-13,SNDK
2026-07-13,STX
2026-07-13,WDC
2026-07-13,CHTR
2026-07-13,GEV
2026-07-13,MRNA
2026-07-13,APP
2026-07-13,COIN
2026-07-13,VRT
2026-07-13,TPL
2026-07-14,MRVL
2026-07-14,INTC
2026-07-14,TER
2026-07-14,FDS
2026-07-14,AXON
2026-07-14,VRT
2026-07-14,GEV
2026-07-14,RMD
2026-07-14,APP
2026-07-14,TTD
2026-07-15,SNDK
2026-07-15,AMAT
2026-07-15,LRCX
2026-07-15,AXON
2026-07-15,CVNA
2026-07-15,CSGP
2026-07-15,HOOD
2026-07-15,COIN
2026-07-15,GNRC
2026-07-15,MRNA
2026-07-16,SNDK
2026-07-16,COHR
2026-07-16,GLW
2026-07-16,PNR
2026-07-16,FIX
2026-07-16,MRNA
2026-07-16,VRT
2026-07-16,COIN
2026-07-16,ALB
2026-07-16,CSGP
2026-07-17,GLW
2026-07-17,IBM
2026-07-17,TER
2026-07-17,APP
2026-07-17,MRNA
2026-07-17,VRT
2026-07-17,HOOD
2026-07-17,PNR
2026-07-17,FIX
2026-07-17,RDDT
2026-07-20,STX
2026-07-20,LITE
2026-07-20,WDC
2026-07-20,FIX
2026-07-20,VRT
2026-07-20,GEV
2026-07-20,APP
2026-07-20,HOOD
2026-07-20,FCX
2026-07-20,NFLX
2026-07-21,NOW
2026-07-21,WDAY
2026-07-21,GLW
2026-07-21,HOOD
2026-07-21,ISRG
2026-07-21,COIN
2026-07-21,GNRC
2026-07-21,VRT
2026-07-21,CAT
2026-07-21,CSGP
2026-07-22,SNDK
2026-07-22,WDC
2026-07-22,TER
2026-07-22,RDDT
2026-07-22,CVNA
2026-07-22,COIN
2026-07-22,HOOD
2026-07-22,GPC
2026-07-22,APP
2026-07-22,GNRC
2026-07-23,SNDK
2026-07-23,MRVL
2026-07-23,MPWR
2026-07-23,RDDT
2026-07-23,FCX
2026-07-23,MRNA
2026-07-23,AXON
2026-07-23,CVNA
2026-07-23,META
2026-07-23,ECHO
2026-07-24,TER
2026-07-24,SNDK
2026-07-24,MU
2026-07-24,ROL
2026-07-24,AXON
2026-07-24,GEV
2026-07-24,ERIE
2026-07-24,TTD
2026-07-24,CHTR
2026-07-24,ISRG
2026-07-27,WDAY
2026-07-27,NOW
2026-07-27,CHTR
2026-07-27,SW
2026-07-27,MRVL
2026-07-27,HOOD
2026-07-27,APP
2026-07-27,TTD
2026-07-27,CVNA
2026-07-27,DECK
2026-07-28,COHR
2026-07-28,MU
2026-07-28,GLW
2026-07-28,GEV
2026-07-28,COIN
2026-07-28,VRT
2026-07-28,ISRG
2026-07-28,CSGP
2026-07-28,HOOD
2026-07-28,CHTR
2026-07-29,FLEX
2026-07-29,STX
2026-07-29,WDC
2026-07-29,VRT
2026-07-29,CHTR
2026-07-29,NCLH
2026-07-29,MRNA
2026-07-29,CVNA
2026-07-29,FIX
2026-07-29,GNRC
2026-07-30,CSGP
2026-07-30,LITE
2026-07-30,WDAY
2026-07-30,SNDK
2026-07-30,FIX
2026-07-30,VRT
2026-07-30,CHTR
2026-07-30,GEV
2026-07-30,ERIE
2026-07-30,VST
2026-07-31,SNDK
2026-07-31,MU
2026-07-31,LITE
2026-07-31,VRT
2026-07-31,GEV
2026-07-31,CSGP
2026-07-31,CVNA
2026-07-31,ERIE
2026-07-31,RDDT
2026-07-31,FIX
2026-08-03,WDAY
2026-08-03,GDDY
2026-08-03,NOW
2026-08-03,VRT
2026-08-03,AXON
2026-08-03,BLDR
2026-08-03,COIN
2026-08-03,BAX
2026-08-03,CSGP
2026-08-03,CHTR
2026-08-04,LITE
2026-08-04,COHR
2026-08-04,VRT
2026-08-04,MU
2026-08-04,HOOD
2026-08-04,FIX
2026-08-04,ETN
2026-08-04,CVNA
2026-08-04,RDDT
2026-08-04,CSGP
2026-08-05,SNDK
2026-08-05,IT
2026-08-05,INTC
2026-08-05,ECHO
2026-08-05,AXON
2026-08-05,BLDR
2026-08-05,FDS
2026-08-05,CMI
2026-08-05,TTD
2026-08-05,EXPE
2026-08-06,SNDK
2026-08-06,COHR
2026-08-06,VRT
2026-08-06,WDC
2026-08-06,RDDT
2026-08-06,PODD
2026-08-06,APP
2026-08-06,BLDR
2026-08-06,AXON
2026-08-06,MRNA
2026-08-07,COHR
2026-08-07,LITE
2026-08-07,WDC
2026-08-07,PODD
2026-08-07,VRT
2026-08-07,TTD
2026-08-07,MRNA
2026-08-07,COIN
2026-08-07,RDDT
2026-08-07,TPL
2026-08-10,TTD
2026-08-10,SMCI
2026-08-10,COHR
2026-08-10,DELL
2026-08-10,MRNA
2026-08-10,VRT
2026-08-10,APTV
2026-08-10,TPL
2026-08-10,AXON
2026-08-10,EFX
2026-08-11,DDOG
2026-08-11,IT
2026-08-11,WDAY
2026-08-11,CVNA
2026-08-11,APP
2026-08-11,TTD
2026-08-11,VRT
2026-08-11,FIX
2026-08-11,CSGP
2026-08-11,APA
2026-08-12,AXON
2026-08-12,STX
2026-08-12,VRT
2026-08-12,SNDK
2026-08-12,COHR
2026-08-12,PODD
2026-08-12,GNRC
2026-08-12,TTD
2026-08-12,TPL
2026-08-12,CHTR
2026-08-13,SMCI
2026-08-13,DELL
2026-08-13,HPE
2026-08-13,TTD
2026-08-13,ECHO
2026-08-13,TPL
2026-08-13,APP
2026-08-13,CF
2026-08-13,BLDR
2026-08-13,APTV
2026-08-14,SNDK
2026-08-14,WDC
2026-08-14,STX
2026-08-14,RDDT
2026-08-14,COIN
2026-08-14,TTD
2026-08-14,CSGP
2026-08-14,HOOD
2026-08-14,CHTR
2026-08-14,MRNA
2026-08-17,STX
2026-08-17,TER
2026-08-17,WDC
2026-08-17,VRT
2026-08-17,NRG
2026-08-17,MRNA
2026-08-17,TTD
2026-08-17,CVNA
2026-08-17,FIX
2026-08-17,CSGP
2026-08-18,COHR
2026-08-18,TER
2026-08-18,SNDK
2026-08-18,FIX
2026-08-18,PWR
2026-08-18,VRT
2026-08-18,CVNA
2026-08-18,MRNA
2026-08-18,COIN
2026-08-18,HOOD
2026-08-19,CIEN
2026-08-19,SNDK
2026-08-19,MU
2026-08-19,BLDR
2026-08-19,CVNA
2026-08-19,MRNA
2026-08-19,RDDT
2026-08-19,MOS
2026-08-19,NCLH
2026-08-19,HOOD
2026-08-20,MRNA
2026-08-20,COIN
2026-08-20,COHR
2026-08-20,CRWD
2026-08-20,INTC
2026-08-20,CVNA
2026-08-20,VRT
2026-08-20,RDDT
2026-08-20,STLD
2026-08-20,BLDR
2026-08-21,LITE
2026-08-21,COHR
2026-08-21,VRT
2026-08-21,MU
2026-08-21,MOS
2026-08-21,STLD
2026-08-21,HOOD
2026-08-21,FCX
2026-08-21,NRG
2026-08-21,AXON
2026-08-24,HOOD
2026-08-24,MRNA
2026-08-24,COHR
2026-08-24,TER
2026-08-24,STX
2026-08-24,TPL
2026-08-24,RDDT
2026-08-24,VRT
2026-08-24,COIN
2026-08-24,STLD
2026-08-25,MRNA
2026-08-25,LITE
2026-08-25,WDC
2026-08-25,TER
2026-08-25,FIX
2026-08-25,VRT
2026-08-25,PWR
2026-08-25,COIN
2026-08-25,NRG
2026-08-25,ALB
2026-08-26,MRNA
2026-08-26,HOOD
2026-08-26,COIN
2026-08-26,SMCI
2026-08-26,RDDT
2026-08-26,SNDK
2026-08-26,CDW
2026-08-26,MOS
2026-08-26,NEM
2026-08-26,PWR
2026-08-27,LITE
2026-08-27,SNDK
2026-08-27,COHR
2026-08-27,MRNA
2026-08-27,FIX
2026-08-27,VRT
2026-08-27,GEV
2026-08-27,HOOD
2026-08-27,COIN
2026-08-28,COIN
2026-08-28,PANW
2026-08-28,SNDK
2026-08-28,MU
2026-08-28,MRNA
2026-08-28,HOOD
2026-08-28,TPR
2026-08-28,FIX
2026-08-28,RDDT
2026-08-28,CSGP
2026-08-31,WDAY
2026-08-31,NOW
2026-08-31,MRNA
2026-08-31,CRWD
2026-08-31,GEV
2026-08-31,AXON
2026-08-31,CHTR
2026-08-31,TPL
2026-08-31,PCG
2026-08-31,TTD
2026-09-01,SNDK
2026-09-01,COIN
2026-09-01,SMCI
2026-09-01,NOW
2026-09-01,FIX
2026-09-01,RDDT
2026-09-01,VEEV
2026-09-01,AXON
2026-09-01,TPR
2026-09-01,GNRC
2026-09-02,EIX
2026-09-02,MRNA
2026-09-02,MRVL
2026-09-02,PCG
2026-09-02,HPQ
2026-09-02,PANW
2026-09-02,COIN
2026-09-02,NCLH
2026-09-02,ALB
2026-09-02,AXON
2026-09-03,DELL
2026-09-03,TER
2026-09-03,HOOD
2026-09-03,CRWD
2026-09-03,AXON
2026-09-03,RDDT
2026-09-03,TTD
2026-09-03,MOS
2026-09-03,CHTR
2026-09-03,COIN
2026-09-04,HOOD
2026-09-04,MRNA
2026-09-04,LRCX
2026-09-04,COIN
2026-09-04,LITE
2026-09-04,TER
2026-09-04,PCG
2026-09-04,AXON
2026-09-04,VRT
2026-09-04,MOS
